epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.11211,1.18409,3.13939,1.04599,0.00333,1,0.13752,0.06515,0.83526,3.22034,0.8799,0.00022,0.00022,0.00022
2,11.6906,1.11969,1.69037,1.00518,0.00333,1,0.10767,0.02626,1.1779,3.28038,0.96772,0.000454308,0.000454308,0.000454308
3,13.3063,1.09801,1.39849,0.99327,0.00333,1,0.01017,0.00592,1.09397,3.26472,0.95219,0.000682675,0.000682675,0.000682675
4,15.047,1.05259,1.31071,1.01021,0.00333,1,0.68003,0.48062,1.02258,2.94938,0.95437,0.000905103,0.000905103,0.000905103
5,17.4125,1.02741,1.21834,0.98614,0.00333,1,0.92657,0.71636,0.93229,2.60028,0.96594,0.00112159,0.00112159,0.00112159
6,19.2418,0.97656,1.12099,0.95588,0.00333,1,0.91839,0.66503,1.00503,2.56292,0.9526,0.00133214,0.00133214,0.00133214
7,20.7102,0.93924,1.04965,0.94443,1,0.52899,0.975,0.69524,1.03256,2.2589,0.961,0.00153675,0.00153675,0.00153675
8,22.32,0.95338,1.02089,0.95537,0.95981,1,0.995,0.71752,1.21025,1.69443,0.97921,0.00173541,0.00173541,0.00173541
9,24.2616,0.93233,0.95961,0.94345,0.98682,1,0.995,0.44946,1.76418,1.15003,1.30423,0.001802,0.001802,0.001802
10,26.0954,0.94874,0.99142,0.96066,1,0.99484,0.995,0.56593,1.50336,1.04987,1.24109,0.00177725,0.00177725,0.00177725
11,27.7615,0.91652,0.87303,0.95194,0.99544,1,0.995,0.64683,1.09139,0.84785,1.00467,0.0017525,0.0017525,0.0017525
12,29.2184,0.8704,0.82725,0.93659,0.9958,1,0.995,0.75472,0.8748,0.64016,0.91553,0.00172775,0.00172775,0.00172775
13,31.1269,0.86093,0.79313,0.92254,0.99681,1,0.995,0.79519,0.93497,0.66027,0.91689,0.001703,0.001703,0.001703
14,32.9785,0.8425,0.77017,0.91585,0.99568,1,0.995,0.59081,1.32582,0.71656,1.13203,0.00167825,0.00167825,0.00167825
15,34.4246,0.86749,0.76462,0.93841,0.99563,1,0.995,0.62525,1.29908,0.73204,1.06777,0.0016535,0.0016535,0.0016535
16,36.1311,0.88497,0.71568,0.94028,0.99478,1,0.995,0.76543,0.82227,0.56005,0.89896,0.00162875,0.00162875,0.00162875
17,37.7363,0.86584,0.70091,0.92967,0.99564,1,0.995,0.80538,0.74872,0.54229,0.8898,0.001604,0.001604,0.001604
18,39.6502,0.83316,0.65853,0.92551,0.9951,1,0.995,0.86335,0.62754,0.49228,0.86309,0.00157925,0.00157925,0.00157925
19,41.948,0.89291,0.6864,0.93591,0.99227,1,0.995,0.60493,1.46111,0.64889,1.12393,0.0015545,0.0015545,0.0015545
20,43.6089,0.86708,0.66819,0.93876,0.99533,1,0.995,0.65944,1.28656,0.55948,1.06066,0.00152975,0.00152975,0.00152975
21,45.5214,0.84312,0.64066,0.94091,0.99515,1,0.995,0.76697,0.87821,0.50051,0.9256,0.001505,0.001505,0.001505
22,47.2418,0.81758,0.62586,0.91471,0.99457,1,0.995,0.72768,0.96409,0.47559,0.94992,0.00148025,0.00148025,0.00148025
23,48.8107,0.78613,0.6025,0.89492,0.99564,1,0.995,0.70513,1.26297,0.59621,1.03769,0.0014555,0.0014555,0.0014555
24,50.36,0.74232,0.56887,0.88615,0.99547,1,0.995,0.69157,1.12534,0.51727,1.02757,0.00143075,0.00143075,0.00143075
25,51.9414,0.79885,0.56389,0.91656,0.99549,1,0.995,0.75705,0.94032,0.48875,0.92975,0.001406,0.001406,0.001406
26,53.6142,0.80219,0.58176,0.91325,0.99581,1,0.995,0.8002,0.8042,0.50891,0.91468,0.00138125,0.00138125,0.00138125
27,55.1544,0.81471,0.60868,0.92086,0.99551,1,0.995,0.74175,0.98576,0.53181,0.95002,0.0013565,0.0013565,0.0013565
28,56.6458,0.76035,0.5576,0.90794,0.99609,1,0.995,0.75887,0.83688,0.51955,0.90337,0.00133175,0.00133175,0.00133175
29,58.4373,0.76263,0.53852,0.91625,0.99568,1,0.995,0.7953,0.7788,0.44436,0.89396,0.001307,0.001307,0.001307
30,60.1464,0.77918,0.54343,0.92816,0.99555,1,0.995,0.77108,0.8992,0.45332,0.93203,0.00128225,0.00128225,0.00128225
31,61.8708,0.77246,0.53219,0.91445,0.99193,1,0.995,0.77207,0.88767,0.48105,0.93712,0.0012575,0.0012575,0.0012575
32,63.4388,0.75319,0.52576,0.89406,0.99493,1,0.995,0.71379,1.13796,0.49225,1.01396,0.00123275,0.00123275,0.00123275
33,64.947,0.76331,0.51938,0.90634,0.99551,1,0.995,0.73182,1.02911,0.44695,0.98465,0.001208,0.001208,0.001208
34,66.5874,0.72236,0.50269,0.89233,0.99522,1,0.995,0.77288,0.8305,0.41256,0.91284,0.00118325,0.00118325,0.00118325
35,68.102,0.72621,0.49546,0.89539,0.99516,1,0.995,0.81378,0.85077,0.43024,0.92216,0.0011585,0.0011585,0.0011585
36,69.5966,0.71976,0.49905,0.89889,0.99552,1,0.995,0.82812,0.78369,0.42598,0.8951,0.00113375,0.00113375,0.00113375
37,71.2444,0.73819,0.4935,0.90193,0.99535,1,0.995,0.7775,0.89626,0.41449,0.91394,0.001109,0.001109,0.001109
38,72.7988,0.70768,0.48819,0.87348,0.99524,1,0.995,0.8263,0.73252,0.40211,0.87368,0.00108425,0.00108425,0.00108425
